Rap Name,Era,Songs,Lyrics
J. Cole,2010s,,
Lil Wayne,2000s,,
André 3000,2000s,,
50 Cent,2000s,,
Eazy-E,1980s,,
Drake,2010s,,
DMX,1990s,,
A$AP Rocky,2010s,,
MF Doom,2000s,,
Childish Gambino,2010s,,
Kid Cudi,2010s,,
"Tyler, the Creator",2020s,,
Busta Rhymes,2000s,,
Travis Scott,2010s,,
XXXTentacion,2010s,,
Ghostface Killah,1990s,,
Chance the Rapper,2010s,,
Juice Wrld,2010s,,
Logic,2010s,,
Nate Dogg,2000s,,
Wiz Khalifa,2010s,,
Future,2010s,,
Joey Bada$$,2010s,,
Method Man,1990s,,
Mac Miller,2010s,,
Big Sean,2010s,,
Lil Uzi Vert,2010s,,
The Game,2000s,,
21 Savage,2010s,,
Tech N9ne,2000s,,
Meek Mill,2010s,,
Joyner Lucas,2010s,,
Schoolboy Q,2010s,,
2 Chainz,2010s,,
Nelly,2000s,,
Gucci Mane,2010s,,
Rakim,1990s,,
Ski Mask The Slump God,2010s,,
Ludacris,2000s,,
Chief Keef,2010s,,
Ice-T,1980s,,
T.I.,2000s,,
Missy Elliott,1990s,,
Warren G,1990s,,
Redman,1990s,,
LL Cool J,1980s,,
DMC,1980s,,
A$AP Ferg,2010s,,
Big L,1990s,,
Ol' Dirty Bastard,1990s,,
RZA,1990s,,
Rick Ross,2000s,,
Twista,1990s,,
Big Pun,1990s,,
Raekwon,1990s,,
J.I.D,2020s,,
Xzibit,2000s,,
Scarface,1990s,,
Lil Dicky,2010s,,
Will Smith,1990s,,
Mos Def,2000s,,
Hopsin,2010s,,
Big Boi,2000s,,
G-Eazy,2010s,,
Slick Rick,1980s,,
GZA,1990s,,
Q-Tip,1990s,,
Prodigy,2000s,,
Post Malone,2020s,,
Young Thug,2010s,,
NF,2010s,,
Lil Baby,2020s,,
T-Pain,2000s,,
Coolio,1990s,,
Polo G,2020s,,
MC Ren,1980s,,
Lupe Fiasco,2000s,,
Quavo,2020s,,
Common,2000s,,
E-40,1990s,,
Fat Joe,1990s,,
Roddy Ricch,2020s,,
DaBaby,2020s,,
YG,2010s,,
Grandmaster Flash,1980s,,
KRS-One,1980s,,
Big Daddy Kane,1980s,,
Pharrell Williams,2000s,,
Juicy J,2000s,,
Kurupt,2000s,,
Vince Staples,2010s,,
Nicki Minaj,2010s,,
A Boogie wit da Hoodie,2020s,,
Playboi Carti,2020s,,
NLE Choppa,2020s,,
N.W.A,1980s,,
Public Enemy,1980s,,
Kurtis Blow,1980s,,
De La Soul,1980s,,
Chuck D,1980s,,
Doja Cat,2020s,,
Jack Harlow,2020s,,
lil nas x,2020s,,
lil Durk,2020s,,
Baby Keem,2020s,,
JPEGMAFIA,2020s,,
BROCKHAMPTON,2020s,,
JID,2020s,,
Denzel Curry,2020s,,
Isaiah Rashad,2010s,,
Death Grips,2010s,,
