,Rap Name,Era,Songs,Lyrics
105,N.W.A,1980s,"Fuck tha Police, Straight Outta Compton, Gangsta Gangsta, Express Yourself, Dope Man, Chin Check, A Bitch Iz a Bitch, Real Niggaz, Appetite for Destruction, 100 Miles and Runnin’, Alwayz Into Somethin, She Swallowed It, If It Ain’t Ruff, I Ain’t tha 1, 8 Ball, Parental Discretion Iz Advised, Niggaz 4 Life, Just Don’t Bite It, Straight Outta Compton (Clean), Findum, Fuckum & Flee, Express Yourself (Extended Mix), I’d Rather Fuck You, Message To B.A. (Ice Cube Diss), Real Niggaz Don’t Die, Quiet On Tha Set","And make your sister think I love her, Who them niggas that you love to get, Love to yell that we the shit, But I'mma love it when you drop like a muthafucking brick, Rem? Dance every lady love me, She did it so much we make bets on who the ho would love to go through, 'Cause ninety percent of the bitches today, they love that shit, But they start to love it because I made it eventually, She can ride or walk, either leave it or love it, You can't leave 'em and love and stay above 'em, But you said you love me!, Why you doin' me like this? I love you!, Yeah, you love my money; I got what I wanted -- beat it!13Embed, I love niggas, I love niggas, I love niggas, And I should only love that which is me, I love that you niggas (""niggas for life""), And make your sister think I love her, And don't say that you love me too, I like to dedicate this one to all the lovely young ladies out there"
106,Public Enemy,1980s,"Fight the Power, Don’t Believe the Hype, Bring the Noise, Harder Than You Think, Welcome to the Terrordome, Black Steel in the Hour of Chaos, Rebel Without a Pause, He Got Game (Album Version), Shut ’Em Down, 911 Is a Joke, Can’t Truss It, Burn Hollywood Burn, Public Enemy No. 1, Night of the Living Baseheads, By the Time I Get to Arizona, She Watch Channel Zero?!, Cold Lampin’ with Flavor, Louder than a Bomb, Fear of a Black Planet, Terminator X to the Edge of Panic, Prophets of Rage, Can’t Do Nuttin’ For Ya Man, Brothers Gonna Work It Out, Party for Your Right to Fight, Countdown to Armageddon","My beloved, let's get down, Show no love so it's easy to hate it, Keep comin back to live, love life like I'm crazy, Live love life like you just don't care, One love y'all, What's Love Got To Do with what you got, Because love conquers all, you understand what I'm sayin?, One love who said it, I know Whodini sang it, That's why it's hard for the black to love the land, Bones, nothing but love bones, (But suppose she said she loved me?), But suppose she said she loved me?, Would you still love her or would you dismiss her?, If the whole world was to come through peace and love, (But suppose she said she loved me?), All I want is peace and love on this planet, Makin' love to wrong instead of right"
107,Kurtis Blow,1980s,"Basketball, The Breaks, Christmas Rappin’, If I Ruled The World, I Can’t Take it No More, AJ Scratch, Rappin’ Blow, Pt. 2, 8 Million Stories, Hard Times, Throughout Your Years, I’m Chillin’, Tough, Daydreamin’, Way Out West, Party Time, Takin’ Care Of Business, All I Want in This World (Is to Find That Girl), The Bronx, America, Fallin Back in Love Again, Juice, The Breaks (Part 1), Take It to the Bridge, Street Rock, Baby, You’ve Got to Go","We love that basketball, We love that basketball, We love that basketball, We love that basketball, We love that basketball, We love that basketball, Breaks in love, breaks in war, I'd love all the girls, I'd love all the girls  (I'd love em love em baby!), I'd love all the girls  (I'd love em love em baby!), And it's a song about love and happiness, I'd love all the girls  (I'd love em love em baby!), I'd love all the girls  (I'd love em love em baby!), 10. Egyptian Lover, On The Nile , 10. Egyptian Lover, On The Nile , I love to work at nothing all day, We love to work at nothing all day, I love to work at nothing all day, I love to work at nothing all day, 10. Egyptian Lover, On The Nile , 4 ContributorsFallin Back in Love Again LyricsChorus:, Fallin',fallin',back in love, I'm back in love again, I say I'm back,back in love again, I say I'm back,right back in love again, And if at all love is the question, Back in love,I'm back in love again, I'm falling back in love,I'm back in love again, So many times love's broke my heart, Some way my love some how, You and me,for eternity will always be in love, You and me,for eternity will always be in love, You know I need you baby you got me back in love, Breaks in love, breaks in war"
108,De La Soul,1980s,"Me Myself and I, Stakes is High, The Magic Number, Rock Co.Kane Flow, Eye Know, Buddy, Ring Ring Ring (Ha Ha Hey), Pain, A Roller Skating Jam Named “Saturdays”, The Bizness, Breakadawn, Memory of... (US), Plug Tunin (Last Chance to Comprehend), Jenifa Taught Me (Derwin’s Revenge), Ego Trippin’ (Part Two), Oooh, Drawn, I Am I Be, All Good?, Millie Pulled a Pistol on Santa, Itzsoweezee (HOT), Oodles of O’s, Intro, Trying People, Bitties in the BK Lounge","Man, them stakes is high (Ayo, what about that love?), Yo, it's about love of cars, love of funds, Lovin' to love mad sex, lovin' to love guns, Love for opposite, love for fame and wealth, Love for the fact of no longer lovin' yourself, kid (Uh-huh), JD Dove, show your love, what you got to say?, 'Cause love don't get you through life no more, Hip-hop love this is and don't mind when I quiz your, I know I'll love you better, My destiny of love is brought to an apex, In this world of love that I have for you, I know I'll love you better, I know I'll love you better, I know I'll love you better7Embed, I won't lie, I love B-U-D-D-Y (why), 80. the game hate it or love it , Used to gang-bang, used to love the clashes, Big black fat love, big black fat, I Used To Love H.E.R., but now I bone her (Ahuh-hah!), And to my cousin Fudge Love, you know he nonstop, I gotta ""hey love"" all the honies, cost me short term, But you're not easy to love, I love the memory of..., But you're not easy to love, I love the memory of..., A ballad was born upon a demo of a fly love song, But you're not easy to love, I love the memory of..., Lovestruck was my mode, ""I love Daisies"" read her shirt, A life filled with (*GUNS*)—that's what thugs love, Direct beats that's contagious, loved by all ages, You can lose the love of your life through a lifetime of love on tour, The loving that you claim is just a four letter word, Now catch a curve from my kick (or show me loving by brick), I mean on her, man, I'd love to make advances, If love is against the law -- listen I don't know, Fell in love with this fish who got caught in my mesh, I guess love ain't nuttin but emotion and game, Some are lovey-Dovey, ah you crazies know, I want a wife, I love women, How could I front like I don't be in love with 'em?, Do you wanna lose hate for love?, Posdnuos: And with your wrinkled pussy, I can't be your lover!"
109,Chuck D,1980s,"Mistachuck, No, Generation Wrekked, The Pride, But Can You Kill the Nigger in You?, Chuck D’s Open Letter On Media, Messages & Pimps, Tear Down That Wall, Endonesia, Niggativity...Do I Dare Disturb The Universe?, Free Big Willie, Bernie Got Berned, Beastie Boys Rock N’ Roll Hall of Fame Induction Speech, Get It Right Or Be Gone, Spread The Words, Paid, Talk Show Created the Fool, It’s So Hard To See My Baseball Cards Move On, Underdog, Horizontal Heroin, Destroy All Masters, Wake Up The Sleeping Giant, My SuperHero, Intro, Outro","It's time to learn to love again, Learn to love again, It's time to learn to love again, It's time to learn to love again, It's time to learn to love again, Learn! To love againEmbed, But the love we shared was the art of noise, It’s just peace no beefs, I gets love, Our leaders seem to love playing with fire, No matter their lyrical subjects or their onstage parodies, ONE thing The Beastie Boys never were was a joke. They REMIND US that this is a CRAFT... not a hustle. I couldn't be more HONORED to INDUCT this group, because they represent the BEST of the hip hop and rap music. I dig, love, and always THANK them for doing the hard work of PAVING those roads... for musicians all over the world to rock rap and roll on...... ESPECIALLY before people took us seriously as artists, Sorry Busta, love you, but everything is not a hustle, This devil loves it man, but check this, In the club, see there ain't no love lost, Recently, there was something calling in me. After I spoke at UPenn on 2.6.16 I went to sit all day in my Dad's den to watch Super Bowl 50. It was the grandest of times. After the game I offered to take my nephew and long-time PE founding member and SIW, James Norman, to their respective homes. Before we left, my Dad told us how in 1956, while he was in Marine Camp Lejeune, the nearby restaurant told him they wouldn't serve Negroes. He laughed, remembering when Dick Gregory, recalling a similar experience, retorted that he didn't eat Negroes either. My Dad also talked about how much he dug President Obama and never dug all the criticism about him. My Dad proceeded to tell some other jokes he'd heard on one of Dick Gregory's 1960s albums. We laughed so much. I kissed my Dad on both sides of his face, rubbed his back, and said I loved him much and he told me the same. I was out the door., Peace, resPEct, Love... Forever"
110,Doja Cat,2020s,"Say So, Kiss Me More, Need to Know, Ain’t Shit, BXTTXR LVCK NXXT TIMX, MOOO!, Juicy, Rules, Streets, Get Into It (Yuh), Tia Tamera, Woman, Boss Bitch, Cyber Sex, I Don’t Do Drugs, Candy, Like That, So High, Freak, Bottom Bitch, Boom, Go To Town, Vegas, Dindu Nuffin, Been Like This","It's been a long time since you fell in love, Tell me, what must I do? (Do tell, my love), Like it, love it, need it bad, We hug and, yes, we make love, And we cuddle, sure, I do love it, Oh, I love the taste, la-la-la-la-la-la, Oh, I love the taste, la-la-la-la-la-la, Oh, I love the taste, la-la-la-la-la-la, Oh, I love the taste, la-la-la-la-la-la, Ooh, I love the taste, oh-la-la-la-la-la, Ooh, I love the taste, oh-la-la-la-la-la, Call him Ed Sheeran, he in love with my body, Thank you, Nicki, I love you, I love when we get freaky on camera, Love at first sight, just a link to the 'Gram, Love a sneak peek, when you free? Can we cam up?, I love when we get freaky on camera, I love when we get freaky on camera, I love when we get freaky on camera, Love got me fucked up, Ever since I fell in love, Love got me fucked up, Show me that you love me too29Embed, Bow, bow, love it mi back-weight, But it's not all mine, 'cause a bitch love FreeTress, look, look, Love it when you be cryin' out when I'm corseted, Hatin' me ain't gon' get you love, I ain't even gon' sweat you, love"
111,Jack Harlow,2020s,"First Class, WHATS POPPIN, Tyler Herro, Churchill Downs, Dua Lipa, Nail Tech, Already Best Friends, Way Out, SUNDOWN, THRU THE NIGHT, I WANNA SEE SOME ASS, WARSAW, Gang Gang Gang, Luv Is Dro, I’d Do Anything To Make You Smile, Like A Blade Of Grass, Side Piece, 21C / Delta, Face of My City, Young Harleezy, Route 66, Poison, Dark Knight, They Don’t Love It, GHOST","I'm guessin' when the whole world loves you, people only got one way to stand out, Niggas love to try and test us like they know what we on, It's hard for me to get excited, I love music, and stress 'bout it, Girl on girl, I love the taste, You can run around, I love the chase, She said she love me, but she want her to fu-fu-fuck it up (11:11), What happened to the feelings and love that we still share? (Huh?), Strip club, pre-cum off of the liquor, fell in love with a stripper, Unconditional love becomes very conditioned when push comes to shove, Let me love you slow (Slow, ooh, woah), I'm not in a rush, girl, I'ma love you slow, Can I take my time? Plus, girl, my love is dro, I give you a rush, see, girl, my love is dro (Is dro), Girl, I'ma love you slow, Baby, you should let me love you slow, I'm not in a rush, girl, (Baby, I'ma love you), I'ma love you slow (Baby, nice and slow, girl), Can I take my time? Plus, girl my love is dro (It's dro), I give you a rush, see, girl my love is dro (So I'ma take my time, yeah, ayy, ayy), Girl, I'ma love you slow, Know I love them curves and how they veering off of you, 'Cause I love the shape of you, hmm, you, you, you, I mean the memory is nice but I would love a tape of you, Even though I love you, you should say it first (Say it to him), Even though I love you, you should say it first (Say it to me), I say I'm in love when I fall for appearances, I say I'm in love when I fall for appearances, Fuck like I love her, she know I ain't staying, Love my thots with mouths like mops, 48 ContributorsTranslationsEnglishThey Don’t Love It Lyrics, It's not like I need her but I would love to meet her, 'Cause they don't love it, they don't love it, They don't love it, they don't love it, They don't love it, they don't love it, They don't love it, they don't love it, They don't love it, they don't love it, They don't love it, they don't love it, They don't love it, they don't love it, They don't love it, they don't love it2Embed"
112,lil nas x,2020s,"MONTERO (Call Me By Your Name), Old Town Road, Panini, HOLIDAY, THATS WHAT I WANT, C7osure (You Like), SUN GOES DOWN, SCOOP, DEAD RIGHT NOW, STAR WALKIN’, ONE OF ME, TALES OF DOMINICA, DOLLA SIGN SLIME, LOST IN THE CITADEL, DONT WANT IT, VOID, AM I DREAMING, LIFE AFTER SALEM, Kick It, MONTERO (Call Me By Your Name) [SATAN’S EXTENDED VERSION], Bring U Down, THE ART OF REALIZATION, INDUSTRY BABY (Demo), MONTERO (Call Me By Your Name) (Clean), HOLIDAY (Clean)","Tell me you love me in private, Oh yeah, you used to love me, Keep me warm, love me long, be my sunlight, And I'm known for givin' love away, but, I want someone to love mе, So I want someone to love, But I got nothin' but love on my mind (My mind), I need a baby with love in my prime, But your loving, your body, and a little bit of your brain, And I'm known for givin' love away, but, I want someone to love me, So I want someone to love, I want someone to love me, So I want someone to love, Strangers make you feel so loved, you know?, My mama told me that she love me, don't believe her, I love it how you know I'd only come right back for more, I love it how you know I'd only come right back for more, My love for falling down, I love it how you know I'd only come right back for more, Oh, Blue, I love you, too, Can't find a love who loves me the same, Looking for love where I'm denied, Oh, Blue, I love you, too, Man, who's to blame if you don't love me no more?, Ooh, I love it when you show no love at all, You know I can be your part-time lover, My big sister love you nigga, you the G.O.A.T., my uncle say, Tell me you love me in private, Tell me you love me in private, Told me you loved me in private"
113,lil Durk,2020s,"My Beyoncé, 3 Headed Goat, India, Home Body, Broadway Girls, Bang Bros, All My Life, No Standards, Dis Ain’t What U Want, Make It Out, What Happened To Virgil, 52 Bars Part 2, Like Me, AHHH HA, All Love, Should’ve Ducked, How I Know, Decline, Internet Sensation, What You Do To Me, Backdoor, Difference Is, Finesse Out the Gang Way, 1 (773) Vulture, No Label","That I'm in love and I feel so shy, They don't love you and they only love you right now, The trenches love me forever, They don't love you and they only love you right now, They don't love you and they only love you right now, They don't love you and they only love you right now, I love you with all my heart, ain't no probably, I love you with all my heart, ain't no probably, I love you with all my heart, ain't no probably, I love the trenches, this shit is eternal, I love the bitches who say they ain't heard of me, She don't know about love, she don't know what that is, Fall in love with a nigga like me, And never love another nigga, never love another nigga like me, She don't know about love, she don't know what that is, Fall in love with a nigga like me, And never love another nigga, never love another nigga like me, Fell in love with some R&B bitch, Ain't really been in love in a minute, She don't know about love, she don't know what that is, Fall in love with a nigga like me, And never love another nigga, never love another nigga like me, 47 ContributorsAll Love Lyrics, They told me it's all love, but I love all, It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love, Man, it's all love, You can't love me without my brother 'cause it's all us, It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love, It's all love, I thought it was real, They say it's favoritism, nah, these the ones I love the most, I bought her two, three diamond chokers 'cause she love to choke, 1942 with a small pill, she love the boat, Durkio, Smurkio, yeah, she love the G.O.A.T., Yeah, I love them G locks, They don't even shoot at niggas no more, they love to beatbox, It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love (Man, it's all love), It's all love7Embed, How I know if you still love me? Yeah, yeah, I know that you still love me, yeah, yeah, Feel like the love phony, gotta keep my gun on me, yeah, yeah, I can't lie, I miss your touch, you got that good love (Good love), How I know if you still love me? Yeah, yeah, I know that you still love me, yeah, yeah, Feel like the love phony, gotta keep my gun on me, yeah, yeah, How I know if you still love me? Yeah, yeah, I know that you still love me, yeah, yeah, Feel like the love phony, gotta keep my gun on me, yeah, yeah, This is how I feel, I got your love attached to me, And you know I truly love you, it was never about no pussy, To fall in love, I say I been afraid, Fuck these other hoes 'cause I love my bitch, I seen Rel fall in love, I know that shit crazy, I seen Booka fall in love, I know that shit crazy, I love you and I hate you, through the bullshit I take you, So I do what I want, baby I love you, Close that backdoor 'cause I know this love phony, Did it off the love but I gave ‘em faces, Close that backdoor 'cause I know this love phony, I done did everything for the niggas that I love, And I had told 'em I love 'em so much, Fuck the pandemic, I love me a drought, Teachers said I might be dead 'cause I love the streets (Bitch), The streets don't love anyone, but they in love with me, And from them brothers that I love, I dropped a hundred, why?"
114,Baby Keem,2020s,"ORANGE SODA, ​vent, ​trademark usa, 16, ​lost souls, HONEST, ​hooligan, ​issues, ​pink panties, ​scars, ​scapegoats, ​first order of business, ​no sense, STATS, ​cocoa, ​south africa, ​gorgeous, ​booman, MOSHPIT, APOLOGIZE, BUSS HER UP, ​bank account, ​sons & critics freestyle, SOUL FOOD, FRANCE FREESTYLE","You know I love it when you talk dirty, You could only have love, What's love? I guess I'll never understand, You're not who I love, huh, I love the kinks, bitch, panties to the side, bae, Can't sabotage my love for nothing, Don't saturate my love for some respect, I cannot vouch, Mama gave me all my sins, love me when the story ends, Will you be the person that's gon' love me in my forties?, Will you be the person that's gon' love me in my forties?, Will you be the person that's gon' love me in my forties?10Embed, And you know he only love you when your pants off, If I'm walkin' down the aisle, I hope you love me, I got a bitch that love to do the extras, I love to spend it, she coppin' levitators (Uh-huh), You get money, I do too, let's fall in love, You get money, I do too, let's fall in love, You get money, I do too, let's fall in love, You get money, I do too, let's fall in love, We be fuckin' off the drank and I love that pootie tang, You get money, I do too, let's fall in love, You get money, I do too, let's fall in love4Embed, I can't fall in love because I'm heartless, ooh, mmm, yeah (Ayy, ooh), I can't fall in love bеcause I'm heartless, I can't fall in love because I'm⁠—, Bitch, my grandma love me, so a nigga straight, Love tree falls down, I like tough love (Ayy, ayy), Too many options, love me 'cause I'm gettin' poppin', ayy, Too many options, love me 'cause I'm gettin' poppin', ayy, Say she love me, that's what you bitches all say"
115,JPEGMAFIA,2020s,"1539 N. Calvert, I Cannot Fucking Wait Til Morrissey Dies, Baby I’m Bleeding, Jesus Forgive Me, I Am A Thot, Thug Tears, Real Nega, Free The Frail, ​i just killed a cop now i’m horny, Rainbow Six, BALD!, Beta Male Strategies, HAZARD DUTY PAY!, REBOUND!, All My Heroes Are Cornballs, Libtard Anthem, Kenan Vs. Kel, My Thoughts on Neogaf Dying, Grimy Waifu, Panic Emoji, Thot Tactics, Rock N Roll Is Dead, ​drake era, DD Form 214, Rap Grow Old & Die x No Child Left Behind, TIRED, NERVOUS & BROKE! (SICK, NERVOUS AND BROKE!)","I love y'all (Where ya at?), I just wanna love you, baby, Y'all love the fake, I've been real from the start, We know you love to put teens behind bars, iLoveMakonnen - DRINK MORE WATER FREE - 9/18, Mahalia - Love and Compromise - 13/13, Sinéad Harnett - Lessons In Love - 12/12, iLOVEFRiDAY  - MOOD - 5/5, Backpackers they loving me, Backpackers they loving me"
116,BROCKHAMPTON,2020s,"BLEACH, SUGAR, SWEET, GOLD, JUNKY, STAR, ZIPPER, GUMMY, FACE, BOOGIE, RENTAL, NO HALO, 1999 WILDFIRE, BOY BYE, HEAT, DEARLY DEPARTED, WASTE, QUEER, J’OUVERT, SUMMER, JOHNNY, NEW ORLEANS, SISTER/NATION, TONYA, HOTTIE","But when I love you right, I love you right, So, do you love me, love me, love me?, Do you love me, love me, love me?, Do you love me, love me, love me?, Do you love me, love me? Oh, Do you love me, love me, love me?, Do you love me, love me, love me?, Do you love me, love me, love me?, Do you love me, love me? Oh85Embed, I love huskies but I feel like a wolf (Howl!), Shawty love me long when I grip her sides, I'm goin' crazy, don't need nobody to say they love me, Love is knowin' that you didn’t do it by your lonesome, Love her to death and soon enough, I'll give back all I borrowed, This hate-fueled love, we don't fake it, no givin', just takin', I put my heart in a locker, they love me when I'm a martyr, I just wanna love you, I just wanna love you, Wearing your love like medallions, I just wanna love you, I just wanna love you, I love when you come (I love when you coming), But you don't love me like you say you do, It's true what they say about love had and love lost, I just wanna love you, I just wanna love you, I want a love that make me feel like I ain't breakin' your heart, Love when you're double bunned up, like Leia, Put it in the vacuum, I got love for my label, Don't feel the love or respect, I love to watch 'em squirm, I love when bitches bleed, Black gloves, mask on, muzzle plated chrome, Wish them letters didn't fade, love will never do the same, Love her through the days and whiskey in my hand, Entwined in cotton, his loving smirk, I love it when the people go wild for me, I love it when the people go wild for me, I love it when the people go wild for me, I love it when the people go wild for me, I love it when the people go wild for me, I love it when the people go wild for me, Maybe you can find yourself, love yourself, All the love in my life that I just lost, Love rappin' like it's my girlfriend, Just kidding, I love you assholes"
117,JID,2020s,"151 Rum, NEVER, Workin Out, Off da Zoinkys, Surround Sound, Slick Talk, D/vision, EdEddnEddy, Hasta Luego, Skrawberries, LAUDER, Hereditary, Raydar, Kody Blu 31, Crack Sandwich, Tiiied, All Bad, Sistanem, Hot Box, 2007, Just da Other Day, General, Stars, Underwear, Bruuuh","Diabolical minds, I don't mind it, I like it, I like it, I love it, I got love for you out the mud with you, off the muscle, Shawty love JID, let me turn her to a hand puppet, But fuck it, I love my nigga, I'ma save him, MAC-10, making love sounds, I mean, most of y'all niggas love drugs like me, Love me like drugs, bitch, I might be, Yo' love light bulb, turn on lights, please, I thought it was love here, I just really hope you love a nigga when he's hurting, Know you don't trust me or love me, you steady you call me a liar, Know you don't trust me or love me, you steady you call me a liar, Don't you let the love turn to pyro, Know you don't trust me or love me, you steady you call me a liar, You don't trust me, love me, steady call me a liar, Baby, do you love me? I know that you do, Try to understand if you love me, ayy, Repping the city, showing love that I don't ever get back"
118,Denzel Curry,2020s,"ULTIMATE, CLOUT COBAIN | CLOUT CO13A1N, (RIP YAMS) SPACEGHOSTPUSSY, ULT, VENGEANCE | VENGEANCE, BLACK BALLOONS | 13LACK 13ALLOONZ, SIRENS | Z1RENZ, RICKY, Gook, Threatz, This Life, SUMO | ZUMO, TABOO | TA13OO, SPEEDBOAT, Knotty Head, PERCS | PERCZ, Walkin, SWITCH IT UP | ZWITCH 1T UP, WISH, BLACK METAL TERRORIST | 13 M T, Ice Age, SUPER SAIYAN SUPERMAN | ZUPER ZA1YAN ZUPERMAN, MAD I GOT IT | MAD 1 GOT 1T, ZUU, Sick & Tired","Gotta hate it, gotta love it, pass a class, I rise above it, Deep, no tender, no love, no care, I know your bitch love me, I know your bitch want me, That's the end of my clover leaf, You loving me is forbidden, loving you back is a crime, Tell my mama that I love her 'cause tomorrow not for sure, Tell my mama that I love her 'cause tomorrow not for sure, She's a plain slut that loves it in the anus (Ugh!), Honey love ain't shit but I just came (Skeet it), Prostitute her 'cause she love me, bitch (Ayy, ayy, like swagger!)"
119,Isaiah Rashad,2010s,"Wat’s Wrong, Heavenly Father, 4r da Squaw, Free Lunch, Park, Silkk da Shocka, West Savannah, Tity and Dolla, R.I.P. Kevin Miller, Shot U Down, Ronnie Drake, Smile, Modest, Stuck in the Mud, Menthol, Headshots (4r Da Locals), AA, Rope // rosegold, Soliloquy, Webbie Flow (U Like), Cilvia Demo, Banana, Tranquility, RIP Young, Dressed Like Rappers","Love me for the moment (all in the air now) hug me like your sibling, Zay, say it ain't love cause you bought flowers yesterday, And I been askin' questions, where the love?, And why you never love me when I need it?, I love smokin' weed, I hate advice, Kinfolk, you know it's love, I know you love me (Know you love me), It's rare, I know you love me (Know you love me), Oh yeah, I know you love me (Know you love me), It's rare, I know you love me (Know you love me), I fell in love with your thoughts, To know you love me (Know you love me), It's rare to know you love me (Know you love me), But yeah, I know you love me (Know you love me), It's rare, I know you love me (Know you love me), Now can we fall in love, (Fall in love, through the night), At least we fell in love, (At least we fell in love), 'Cause I love, to call, your name, Now can we fall in love, At least we fell in love, Now can we fall in love, (Fall in love, through the night), At least I fell in love, (At least we fell in love)102Embed, I'm supposed to show you love, I know that bitches gon' be bitches, but I love them hoes (Yeah), Bitches gon' be bitches, but I love them hoes, I know bitches gon' be bitches, but I love them hoes, I know bitches gon' be bitches, but I love them hoes, Know hoes just wanna love me (Love me), Know hoes just wanna love me (That's she wanna do), I know that bitches gon' be with it, but I love them hoes (Yeah), Bitches gon' be bitches, but I love them hoes, I know bitches gon' be bitches, but I love them hoes, I know bitches gon' be bitches, but I love them hoes, I know that bitches gon' be bitches, but I love them hoes (Yeah), Bitches gon' be bitches, but I love them hoes (Yeah), I know bitches gon' be bitches, but I love them hoes, I know bitches gon' be bitches, but I love them hoes, I got love for my niggas, my killers, I got love for my sisters, my women, I got love for my niggas, my killers, I got love for my sisters, my women, I got love for my niggas, I got love for my niggas, my killers, I got love for my sisters, my women, I got love for my niggas, my killers, I got love for my sisters, my women, I got love for my nigga88Embed, And hoes love it when I'm high off life, cause she know, And I don't love no more, but I'll just let you be, Cause you see all my problems and you still had loved me, I, I love you, Ayy, I love you, I love you, I, I love you, I love you, I love you, 'Bout that love, that kind that he forgot, I love you, I love you, I love you, I ain't your everyday normal brother, porno lover, Love a hood rat, where this puss at, And some of us shooters and some of us lovers, You're everything I love, I got a face that only your bitch could love (I got it), You're everything I love, You're everything I love"
120,Death Grips,2010s,"Beware, Hacker, Takyon (Death Yon), Guillotine, Get Got, I’ve Seen Footage, No Love, On GP, I Want It I Need It (Death Heated), You Might Think He Loves You for Your Money but I Know What He Really Loves You for It’s Your Brand New Leopard Skin Pillbox Hat, The Fever (Aye Aye), Spread Eagle Cross the Block, Up My Sleeves, Hustle Bones, Culture Shock, Lord of the Game, Come Up and Get Me, Steroids (Crouching Tiger Hidden Gabber), Spikes, Birds, Inanimate Sensation, Billy Not Really, Punk Weight, Eh, Hunger Games","Most loved, therefore most hated, 122 ContributorsTranslationsРусскийNo Love Lyrics, Again and again and again and again (No love, no love), 63 ContributorsYou Might Think He Loves You for Your Money but I Know What He Really Loves You for It’s Your Brand New Leopard Skin Pillbox Hat Lyrics, Dr. Strangelove, Running through your lover"
121,DJ Khaled,2010s,"I’m the One, Wild Thoughts, For Free, No New Friends, I’m On One, Do You Mind, GREECE, POPSTAR, I Got the Keys, Shining, No Brainer, GOD DID, Hold You Down, Top Off, All I Do Is Win, Holy Key, I Wanna Be With You, They Don’t Love You No More, How Many Times, Wish Wish, SORRY NOT SORRY, You Stay, Take It to the Head, EVERY CHANCE I GET, Nas Album Done","Girl, you throw it back like one love, All my bitches love me; if I had a baby mama, All I want is love, nigga, Smoke good, I love life, Ever made love to the woman of your dreams (Woo!), I can hold you down, be your friend and your lover (Brrrp), 'Cause she just wanna love me, She just wanna love me, She told me that she love that I make music for God, I told her I would love to see that **** applaud, You could be over here embracing that love, More love, more blessings, more life, This shit is deeper than love, These hoes showing fake love when I prefer the hate, man, I don't resonate with the concept of love and hate, Niggas be fallin' in love with this pussy, 149 ContributorsThey Don’t Love You No More Lyrics, They don't love you no more (They don't love me no more), (Huh) They don't love you no more, They don't love you no more (They don't love you no more), They don't love you no more, They don't love you no more, hey, They don't love you no more (They don't love you no more), They don't love you no more, nah, They don't love you no more (They don't love you no more, *They never did*), They don't love you no more, nah, They don't love you no more (They don't love you no more), They don't love you no more, They don't love you no more, hey, They don't love you no more (They don't love you no more), They don't love you no more, nah, They don't love you no more (Let me ask ), They don't love you no more, They don't love you no more, Hol' up, you ain't got love for me, my nigga?, They don't love you no more (They don't love you no more), They don't love you no more, They don't love you no more, hey, They don't love you no more (They don't love you no more), They don't love you no more, nah, They don't love you no more (They don't love you no more), They don't love you no more, nah, You don't love me no more?!, You don't love me no more?!211Embed, She said she wanted the molly love, I gave her the dick, but I'm not in love, If they love me or they hate me, it don't make no difference (Cardi), If they love me or they hate me, it don't make no difference (Cardi), If they love me or they hate me, it don't make no difference (Cardi), It's the white gloves for me, That ain’t the way love supposed to feel, She say love is for free, just expensive to shop, I love my cousin, she was a dancer, I love my brother, he was a scammer"
